transaction_id,account_id,txn_type,amount,related_account_id,status,created_at
112,540,PAYMENT,89.41,,COMPLETED,2023-08-04 17:34:48
113,130,TRANSFER,2630.8,332.0,COMPLETED,2023-12-19 08:22:34
114,319,TRANSFER,2872.29,450.0,COMPLETED,2024-11-24 10:22:03
115,435,TRANSFER,4496.22,101.0,COMPLETED,2024-09-24 19:05:01
116,449,REFUND,115.34,,COMPLETED,2023-11-15 01:44:24
117,981,PAYMENT,978.85,,COMPLETED,2025-01-21 10:19:02
118,717,DEPOSIT,4416.07,,COMPLETED,2023-10-12 00:09:51
119,280,DEPOSIT,3235.21,,COMPLETED,2023-03-12 01:36:19
120,227,DEPOSIT,3030.0,,COMPLETED,2024-06-26 10:06:46
121,785,DEPOSIT,4065.3,,COMPLETED,2023-07-11 15:41:31
122,574,TRANSFER,2421.15,701.0,COMPLETED,2023-05-29 20:09:54
123,488,DEPOSIT,263.56,,COMPLETED,2024-07-21 20:35:15
124,194,DEPOSIT,2587.58,,COMPLETED,2023-09-06 20:27:05
125,180,DEPOSIT,1328.39,,COMPLETED,2023-05-09 00:34:39
126,483,TRANSFER,2839.84,22.0,COMPLETED,2024-01-27 18:28:43
127,869,TRANSFER,1453.1,109.0,COMPLETED,2024-01-31 17:10:23
128,720,REFUND,434.31,,COMPLETED,2024-09-14 19:25:30
129,488,TRANSFER,3983.35,986.0,COMPLETED,2023-08-13 11:35:29
130,739,TRANSFER,1359.38,865.0,COMPLETED,2023-04-18 17:38:11
131,538,TRANSFER,390.77,451.0,COMPLETED,2025-03-17 04:29:05
132,137,DEPOSIT,2637.42,,PENDING,2024-08-07 06:35:20
133,811,WITHDRAWAL,465.69,,COMPLETED,2023-06-09 11:58:43
134,567,PAYMENT,1203.63,,COMPLETED,2025-02-15 01:26:27
135,631,WITHDRAWAL,370.2,,COMPLETED,2025-02-05 09:55:34
136,162,PAYMENT,1083.18,,COMPLETED,2024-11-21 14:05:44
137,927,TRANSFER,2185.91,499.0,COMPLETED,2023-11-07 00:12:08
138,54,TRANSFER,2173.33,964.0,COMPLETED,2024-01-15 23:22:18
139,921,WITHDRAWAL,1775.36,,COMPLETED,2024-07-06 19:24:47
140,912,PAYMENT,1156.48,,COMPLETED,2025-02-24 03:50:38
141,309,WITHDRAWAL,712.89,,COMPLETED,2025-04-04 20:42:56
142,342,TRANSFER,2741.47,313.0,COMPLETED,2023-06-21 02:55:12
143,842,TRANSFER,85.21,621.0,COMPLETED,2023-12-02 06:55:22
144,8,WITHDRAWAL,632.15,,COMPLETED,2025-04-16 03:22:13
145,486,WITHDRAWAL,481.24,,COMPLETED,2025-06-10 21:54:27
146,308,DEPOSIT,2703.72,,COMPLETED,2023-06-25 11:15:33
147,726,DEPOSIT,3419.0,,COMPLETED,2023-11-20 10:45:30
148,492,TRANSFER,2809.94,218.0,COMPLETED,2023-06-24 14:53:04
149,659,WITHDRAWAL,2965.75,,COMPLETED,2024-06-09 05:23:43
150,926,TRANSFER,3692.12,784.0,COMPLETED,2023-10-22 07:01:19
151,280,WITHDRAWAL,2103.95,,COMPLETED,2025-03-27 07:01:13
152,262,WITHDRAWAL,2362.52,,COMPLETED,2025-03-31 13:30:57
153,728,TRANSFER,3548.61,194.0,COMPLETED,2024-03-26 12:04:05
154,753,DEPOSIT,500.89,,COMPLETED,2023-01-12 15:26:01
155,712,WITHDRAWAL,210.96,,COMPLETED,2023-09-02 15:11:25
156,103,TRANSFER,3636.25,478.0,COMPLETED,2024-08-02 21:46:42
157,619,DEPOSIT,4819.47,,COMPLETED,2024-07-28 22:33:32
158,926,PAYMENT,1284.18,,COMPLETED,2023-12-23 20:54:51
159,247,PAYMENT,1862.21,,COMPLETED,2025-06-11 04:20:48
160,240,DEPOSIT,3017.6,,COMPLETED,2024-09-23 00:30:12
161,283,TRANSFER,3386.42,430.0,COMPLETED,2023-09-03 15:50:02
162,1,REFUND,47.99,,COMPLETED,2023-02-21 06:36:33
163,476,WITHDRAWAL,1197.53,,COMPLETED,2024-05-27 16:10:42
164,616,DEPOSIT,3532.93,,PENDING,2023-01-28 06:17:28
165,651,DEPOSIT,4157.34,,PENDING,2024-10-05 08:30:23
166,416,WITHDRAWAL,2450.23,,COMPLETED,2024-02-26 20:16:58
167,240,WITHDRAWAL,1223.79,,COMPLETED,2024-06-28 08:40:29
168,214,WITHDRAWAL,337.27,,COMPLETED,2024-02-12 05:09:12
169,354,WITHDRAWAL,368.69,,COMPLETED,2023-06-05 16:46:15
170,313,PAYMENT,1628.16,,COMPLETED,2024-11-02 22:37:25
171,822,WITHDRAWAL,1143.7,,COMPLETED,2024-08-03 04:52:58
172,298,PAYMENT,1922.87,,COMPLETED,2024-05-03 20:18:36
173,548,PAYMENT,1725.43,,COMPLETED,2023-04-04 01:59:31
174,314,DEPOSIT,3186.63,,FAILED,2023-11-28 02:27:22
175,804,TRANSFER,4010.8,491.0,PENDING,2024-07-03 04:14:32
176,614,WITHDRAWAL,2108.44,,COMPLETED,2024-10-01 03:01:40
177,346,DEPOSIT,3384.8,,COMPLETED,2024-09-24 06:04:24
178,99,TRANSFER,933.5,377.0,COMPLETED,2023-06-08 12:13:21
179,680,DEPOSIT,4738.23,,COMPLETED,2025-02-01 10:40:50
180,232,WITHDRAWAL,615.01,,COMPLETED,2023-03-16 05:03:38
181,322,DEPOSIT,1053.69,,COMPLETED,2025-01-17 07:43:17
182,733,WITHDRAWAL,2341.24,,COMPLETED,2023-04-18 00:09:11
183,102,TRANSFER,3333.95,729.0,COMPLETED,2024-02-02 06:24:02
184,642,REFUND,424.77,,COMPLETED,2024-09-28 16:32:45
185,377,WITHDRAWAL,2956.38,,COMPLETED,2023-10-09 13:20:34
186,332,WITHDRAWAL,2953.5,,PENDING,2025-02-07 16:04:23
187,337,WITHDRAWAL,2255.5,,COMPLETED,2023-09-06 14:53:25
188,624,PAYMENT,961.86,,COMPLETED,2025-02-02 21:47:29
189,598,WITHDRAWAL,2583.99,,COMPLETED,2024-08-09 23:22:57
190,545,REFUND,350.63,,COMPLETED,2024-10-22 18:12:10
191,816,DEPOSIT,3386.81,,COMPLETED,2023-10-26 01:37:40
192,128,WITHDRAWAL,1846.08,,COMPLETED,2024-08-25 02:29:34
193,650,DEPOSIT,1383.57,,PENDING,2025-03-17 02:25:40
194,410,WITHDRAWAL,1506.33,,COMPLETED,2025-03-15 08:55:30
195,830,PAYMENT,736.51,,COMPLETED,2023-06-01 14:46:05
196,535,DEPOSIT,699.14,,COMPLETED,2025-06-02 16:45:21
197,279,PAYMENT,1444.42,,COMPLETED,2024-10-09 00:48:09
198,659,WITHDRAWAL,1155.03,,COMPLETED,2023-11-25 03:58:52
199,883,DEPOSIT,4038.06,,COMPLETED,2023-01-13 16:44:15
200,594,DEPOSIT,4471.69,,COMPLETED,2024-08-18 09:18:27
201,633,TRANSFER,3937.4,361.0,COMPLETED,2024-01-09 01:48:29
202,673,DEPOSIT,539.93,,COMPLETED,2024-08-21 06:42:13
203,263,PAYMENT,958.31,,COMPLETED,2023-02-25 02:08:20
204,534,TRANSFER,1335.86,429.0,COMPLETED,2023-06-22 20:58:49
205,972,DEPOSIT,148.18,,COMPLETED,2024-11-13 02:50:46
206,806,REFUND,103.48,,COMPLETED,2023-05-13 04:08:23
207,768,WITHDRAWAL,2938.53,,COMPLETED,2023-08-27 21:44:20
208,389,TRANSFER,2463.09,882.0,COMPLETED,2023-06-04 15:16:22
209,102,WITHDRAWAL,873.84,,COMPLETED,2023-02-09 21:06:33
210,178,PAYMENT,1284.76,,PENDING,2024-06-29 05:48:29
211,502,TRANSFER,2879.61,95.0,COMPLETED,2024-09-09 02:09:50
212,410,DEPOSIT,1618.55,,COMPLETED,2024-01-02 16:32:40
213,324,TRANSFER,2007.5,530.0,COMPLETED,2024-07-23 05:29:05
214,432,TRANSFER,2628.63,536.0,COMPLETED,2025-01-24 13:02:06
215,224,PAYMENT,258.83,,COMPLETED,2025-04-23 05:11:52
216,306,PAYMENT,1404.39,,COMPLETED,2023-10-06 19:16:54
217,201,WITHDRAWAL,304.75,,PENDING,2024-05-17 06:16:08
218,564,WITHDRAWAL,98.57,,COMPLETED,2023-04-16 11:20:02
219,916,REFUND,56.44,,COMPLETED,2024-02-22 18:17:20
220,108,TRANSFER,4433.08,372.0,COMPLETED,2025-01-19 03:36:55
221,882,DEPOSIT,3151.08,,COMPLETED,2023-03-19 03:23:30
222,208,DEPOSIT,3334.57,,COMPLETED,2025-04-13 12:35:14
223,390,PAYMENT,939.72,,COMPLETED,2023-03-20 23:50:04
224,329,WITHDRAWAL,422.64,,PENDING,2025-04-02 12:54:37
225,640,DEPOSIT,3008.04,,COMPLETED,2023-06-13 12:30:03
226,753,PAYMENT,875.6,,COMPLETED,2023-03-19 10:19:30
227,633,WITHDRAWAL,1054.56,,COMPLETED,2023-10-12 11:32:51
228,966,DEPOSIT,1573.95,,COMPLETED,2024-07-15 10:56:33
229,189,WITHDRAWAL,20.28,,COMPLETED,2023-01-19 00:23:20
230,169,WITHDRAWAL,1418.21,,COMPLETED,2023-06-01 17:23:52
231,585,PAYMENT,959.36,,COMPLETED,2023-01-10 08:28:26
232,512,PAYMENT,1198.04,,COMPLETED,2024-07-25 14:22:57
233,650,WITHDRAWAL,1246.97,,COMPLETED,2024-02-17 11:20:49
234,470,DEPOSIT,3588.94,,COMPLETED,2025-02-24 23:16:26
235,451,DEPOSIT,442.09,,COMPLETED,2025-04-25 03:22:31
236,615,PAYMENT,1820.81,,COMPLETED,2023-10-03 18:33:03
237,812,DEPOSIT,3259.86,,COMPLETED,2024-09-02 01:52:16
238,326,WITHDRAWAL,2563.38,,COMPLETED,2025-04-24 14:54:18
239,348,DEPOSIT,2303.95,,COMPLETED,2025-02-13 16:03:19
240,830,TRANSFER,979.56,22.0,COMPLETED,2024-10-31 16:16:15
241,634,DEPOSIT,4863.05,,COMPLETED,2024-10-23 08:19:39
242,156,TRANSFER,3649.18,286.0,COMPLETED,2023-10-06 04:42:49
243,18,WITHDRAWAL,1038.9,,COMPLETED,2023-12-06 20:41:31
244,959,WITHDRAWAL,1126.76,,COMPLETED,2023-09-15 05:17:39
245,42,WITHDRAWAL,2533.77,,PENDING,2023-09-07 22:49:43
246,74,DEPOSIT,1992.49,,COMPLETED,2024-05-21 06:37:09
247,220,DEPOSIT,4215.62,,COMPLETED,2024-01-06 22:17:07
248,15,DEPOSIT,3852.32,,COMPLETED,2025-01-18 09:45:33
249,923,REFUND,127.35,,FAILED,2023-09-02 10:16:43
250,244,WITHDRAWAL,2317.57,,COMPLETED,2023-06-28 12:07:36
251,256,WITHDRAWAL,2050.7,,COMPLETED,2025-05-27 10:23:54
252,387,DEPOSIT,3654.77,,COMPLETED,2023-08-21 09:09:01
253,651,WITHDRAWAL,774.87,,COMPLETED,2024-01-29 21:07:20
254,244,WITHDRAWAL,175.22,,COMPLETED,2023-03-24 19:13:44
255,141,DEPOSIT,2199.1,,COMPLETED,2023-11-15 05:12:44
256,954,DEPOSIT,642.27,,COMPLETED,2023-11-22 19:08:17
257,10,REFUND,292.63,,COMPLETED,2024-11-23 01:03:22
258,815,TRANSFER,1888.42,113.0,COMPLETED,2024-04-13 15:30:39
259,594,DEPOSIT,3112.29,,PENDING,2025-01-13 05:34:10
260,910,TRANSFER,345.89,763.0,COMPLETED,2024-09-07 14:06:19
261,636,PAYMENT,260.4,,COMPLETED,2023-06-02 17:53:12
262,663,PAYMENT,1515.83,,COMPLETED,2025-04-30 21:35:56
263,523,TRANSFER,155.7,450.0,COMPLETED,2024-06-08 08:38:06
264,167,DEPOSIT,245.47,,COMPLETED,2023-05-20 12:15:49
265,664,DEPOSIT,3500.34,,COMPLETED,2024-05-24 13:34:04
266,227,WITHDRAWAL,984.57,,COMPLETED,2025-06-09 09:43:16
267,711,PAYMENT,1113.5,,COMPLETED,2024-01-24 17:35:00
268,188,WITHDRAWAL,2461.87,,COMPLETED,2024-08-01 19:45:20
269,538,DEPOSIT,3208.23,,COMPLETED,2024-09-03 02:06:35
270,225,PAYMENT,1243.27,,COMPLETED,2023-09-16 15:58:06
271,735,DEPOSIT,3618.97,,COMPLETED,2023-11-03 14:15:49
272,639,PAYMENT,387.84,,COMPLETED,2025-05-17 18:25:07
273,917,TRANSFER,3084.54,387.0,COMPLETED,2024-05-09 05:50:50
274,386,DEPOSIT,2639.84,,COMPLETED,2024-10-27 20:18:21
275,161,DEPOSIT,204.81,,COMPLETED,2023-08-29 23:30:11
276,236,DEPOSIT,2876.51,,COMPLETED,2024-04-04 21:24:39
277,782,WITHDRAWAL,1879.43,,COMPLETED,2023-07-08 19:21:56
278,63,WITHDRAWAL,1825.74,,COMPLETED,2023-07-15 13:21:13
279,256,TRANSFER,4645.6,103.0,COMPLETED,2023-08-22 17:13:49
280,756,DEPOSIT,2812.2,,PENDING,2025-04-06 00:57:15
281,494,PAYMENT,1590.56,,COMPLETED,2024-04-08 06:12:33
282,731,DEPOSIT,251.23,,COMPLETED,2024-07-19 11:28:05
283,366,DEPOSIT,1118.71,,COMPLETED,2024-03-01 18:54:42
284,128,TRANSFER,2681.72,234.0,COMPLETED,2024-02-23 15:40:36
285,781,DEPOSIT,3145.36,,COMPLETED,2023-10-17 09:35:51
286,896,TRANSFER,3743.24,918.0,COMPLETED,2024-05-20 03:17:51
287,427,TRANSFER,3527.62,510.0,COMPLETED,2024-08-12 20:11:11
288,201,PAYMENT,1104.43,,COMPLETED,2025-03-18 13:00:55
289,782,DEPOSIT,4992.25,,COMPLETED,2023-10-16 20:17:18
290,420,PAYMENT,1104.66,,FAILED,2023-04-04 17:35:50
291,443,WITHDRAWAL,1907.06,,COMPLETED,2023-11-18 13:26:40
292,388,TRANSFER,2837.57,262.0,COMPLETED,2025-03-18 07:37:16
293,652,PAYMENT,515.64,,PENDING,2023-05-23 05:46:14
294,532,REFUND,5.1,,COMPLETED,2024-03-02 01:03:51
295,343,TRANSFER,2612.17,364.0,COMPLETED,2023-10-29 15:47:28
296,271,DEPOSIT,1608.78,,COMPLETED,2025-03-20 01:40:45
297,817,PAYMENT,1839.03,,COMPLETED,2023-06-17 15:38:45
298,676,PAYMENT,317.88,,COMPLETED,2023-11-17 18:31:46
299,424,DEPOSIT,1361.69,,COMPLETED,2023-05-26 19:40:56
300,304,DEPOSIT,4064.82,,COMPLETED,2024-05-04 21:54:59
301,476,TRANSFER,1126.31,101.0,COMPLETED,2024-11-04 19:58:46
302,952,WITHDRAWAL,1475.06,,COMPLETED,2024-01-29 08:26:35
303,833,TRANSFER,4542.9,706.0,COMPLETED,2024-07-06 11:37:53
304,48,TRANSFER,2902.6,103.0,COMPLETED,2024-06-15 20:13:53
305,923,WITHDRAWAL,2641.78,,COMPLETED,2024-09-14 06:29:39
306,150,PAYMENT,461.17,,COMPLETED,2024-10-16 22:27:11
307,715,PAYMENT,1271.44,,COMPLETED,2024-02-29 07:41:37
308,71,WITHDRAWAL,142.72,,COMPLETED,2023-08-07 06:07:55
309,183,WITHDRAWAL,2099.35,,COMPLETED,2024-10-10 03:24:04
310,799,TRANSFER,1994.77,530.0,COMPLETED,2024-06-22 10:39:18
311,682,WITHDRAWAL,681.82,,COMPLETED,2024-03-08 08:55:06
312,469,DEPOSIT,1714.03,,COMPLETED,2023-12-26 10:23:46
313,891,DEPOSIT,2026.0,,COMPLETED,2023-02-05 22:56:00
314,596,WITHDRAWAL,2099.65,,COMPLETED,2025-04-12 08:59:27
315,573,TRANSFER,2464.91,774.0,COMPLETED,2023-07-29 22:27:09
316,666,TRANSFER,3691.56,301.0,COMPLETED,2025-04-17 12:57:34
317,323,PAYMENT,653.59,,PENDING,2025-04-10 11:45:55
318,113,DEPOSIT,2097.23,,COMPLETED,2023-04-07 15:19:14
319,234,WITHDRAWAL,1789.75,,COMPLETED,2024-01-17 14:25:46
320,367,DEPOSIT,1781.1,,COMPLETED,2023-08-30 08:20:18
321,964,WITHDRAWAL,454.54,,COMPLETED,2024-06-01 10:18:06
322,982,DEPOSIT,3442.53,,COMPLETED,2024-06-15 09:30:26
323,869,PAYMENT,233.62,,COMPLETED,2023-05-27 23:12:51
324,735,PAYMENT,1738.82,,COMPLETED,2023-05-30 01:56:14
325,17,WITHDRAWAL,2416.76,,COMPLETED,2023-09-27 07:43:54
326,562,DEPOSIT,1084.6,,COMPLETED,2024-06-18 18:41:14
327,249,WITHDRAWAL,2256.06,,COMPLETED,2024-09-17 01:52:04
328,737,TRANSFER,749.67,829.0,COMPLETED,2024-04-14 13:56:01
329,449,TRANSFER,3334.47,54.0,COMPLETED,2025-05-02 12:55:27
330,79,DEPOSIT,3956.48,,COMPLETED,2024-05-23 22:01:11
331,70,WITHDRAWAL,2836.63,,COMPLETED,2023-05-06 00:51:57
332,785,DEPOSIT,4267.81,,COMPLETED,2024-08-17 09:53:29
333,136,DEPOSIT,4343.68,,COMPLETED,2024-12-07 13:23:48
334,281,REFUND,256.73,,COMPLETED,2023-02-18 04:55:02
335,379,WITHDRAWAL,1799.38,,COMPLETED,2023-03-22 23:55:57
336,244,WITHDRAWAL,1384.8,,PENDING,2024-12-11 09:44:07
337,26,DEPOSIT,4615.24,,COMPLETED,2023-05-07 17:58:34
338,583,WITHDRAWAL,487.88,,COMPLETED,2023-11-07 02:35:13
339,420,WITHDRAWAL,920.93,,FAILED,2023-12-21 19:27:07
340,596,DEPOSIT,356.95,,COMPLETED,2024-02-17 16:28:42
341,460,PAYMENT,1631.57,,COMPLETED,2024-08-13 02:43:09
342,659,PAYMENT,458.91,,COMPLETED,2023-06-29 13:32:31
343,468,TRANSFER,484.59,455.0,COMPLETED,2023-06-04 04:09:34
344,805,TRANSFER,3146.35,277.0,COMPLETED,2023-10-03 13:03:19
345,678,DEPOSIT,4854.16,,PENDING,2023-06-15 09:30:07
346,394,WITHDRAWAL,412.68,,COMPLETED,2025-02-07 13:19:05
347,687,WITHDRAWAL,2404.31,,COMPLETED,2024-01-27 03:32:49
348,371,TRANSFER,4498.28,168.0,COMPLETED,2024-10-10 19:47:09
349,922,DEPOSIT,4668.5,,PENDING,2023-05-19 02:34:55
350,381,DEPOSIT,2688.16,,COMPLETED,2024-05-12 14:12:30
351,224,WITHDRAWAL,2641.32,,COMPLETED,2024-11-25 22:41:08
352,916,WITHDRAWAL,2919.23,,PENDING,2023-01-05 10:19:57
353,364,WITHDRAWAL,2802.63,,COMPLETED,2023-05-23 18:13:41
354,883,DEPOSIT,3906.58,,COMPLETED,2023-03-31 12:32:21
355,225,DEPOSIT,4930.48,,COMPLETED,2024-05-07 15:31:27
356,719,TRANSFER,1193.01,283.0,COMPLETED,2023-12-20 01:35:34
357,33,WITHDRAWAL,2070.66,,COMPLETED,2023-07-10 09:25:31
358,598,PAYMENT,942.84,,COMPLETED,2024-02-28 04:28:01
359,224,PAYMENT,987.98,,COMPLETED,2023-12-04 03:46:26
360,238,DEPOSIT,2072.52,,PENDING,2024-02-20 06:45:34
361,327,REFUND,115.16,,COMPLETED,2023-08-06 11:55:26
362,248,PAYMENT,141.61,,PENDING,2025-04-01 14:05:13
363,523,PAYMENT,984.99,,COMPLETED,2023-12-14 06:23:21
364,545,PAYMENT,860.84,,COMPLETED,2023-10-13 05:56:32
365,721,TRANSFER,1932.85,375.0,COMPLETED,2025-04-17 23:52:57
